"serogroup","X10_116_S10counts","X11_117_S11counts","X12_118_S12counts","X13_119_S13counts","X14_120_S14counts","X15_131_S15counts","X16_132_S16counts","X17_133_S17counts","X18_134_S18counts","X19_135_S19counts","X1_92_S1counts","X20_136_S20counts","X21_137_S21counts","X22_138_S22counts","X23_139_S23counts","X24_ctrl_S24counts","X25_92_S25counts","X26_94_S26counts","X27_96_S27counts","X28_97_S28counts","X2_94_S2counts","X29_98_S29counts","X30_99_S30counts","X31_100_S31counts","X32_111_S32counts","X33_112_S33counts","X34_116_S34counts","X35_117_S35counts","X36_118_S36counts","X37_119_S37counts","X38_120_S38counts","X39_131_S39counts","X3_96_S3counts","X40_132_S40counts","X41_133_S41counts","X42_134_S42counts","X43_135_S43counts","X44_136_S44counts","X45_137_S45counts","X46_138_S46counts","X47_139_S47counts","X48_ctrl_S48counts","X4_97_S4counts","X49_92_S49counts","X50_94_S50counts","X51_96_S51counts","X52_97_S52counts","X53_98_S53counts","X54_99_S54counts","X55_100_S55counts","X56_111_S56counts","X57_112_S57counts","X58_116_S58counts","X59_117_S59counts","X5_98_S5counts","X60_118_S60counts","X61_119_S61counts","X62_120_S62counts","X63_131_S63counts","X64_132_S64counts","X65_133_S65counts","X66_134_S66counts","X67_135_S67counts","X68_136_S68counts","X69_137_S69counts","X6_99_S6counts","X70_138_S70counts","X7_100_S7counts","X71_139_S71counts","X72_ctrl_S72counts","X73_92_S73counts","X74_94_S74counts","X75_96_S75counts","X76_97_S76counts","X77_98_S77counts","X78_99_S78counts","X79_100_S79counts","X80_111_S80counts","X81_112_S81counts","X8_111_S8counts","X82_116_S82counts","X83_117_S83counts","X84_118_S84counts","X85_119_S85counts","X86_120_S86counts","X87_131_S87counts","X88_132_S88counts","X89_133_S89counts","X90_134_S90counts","X9_112_S9counts","X91_135_S91counts","X92_136_S92counts","X93_137_S93counts","X94_138_S94counts","X95_139_S95counts","X96_ctrl_S96counts"
"O15B",1,1,1,11,2,0,0,1,0,0,43,19,1,7,0,0,73,0,0,28,0,0,0,1,6,153,0,0,1,12,2,0,0,0,3,0,0,49,1,11,0,0,10,37,0,0,6,0,0,0,3,12,0,0,0,9,2,1,5,0,1,0,0,14,20,0,11,0,0,0,28,0,0,0,0,0,0,2,14,4,0,0,1,0,0,0,0,1,0,68,0,12,1,3,0,0
"O16",0,1,18,0,19,56,29,31,3,6,3,0,44,4,0,0,4,0,0,19,0,0,0,0,4,0,0,1,25,0,13,76,0,34,28,1,8,3,36,5,0,0,4,1,0,0,1,0,0,0,2,1,0,0,0,50,0,4,19,19,4,0,0,1,19,0,1,0,0,0,2,0,0,0,0,0,0,1,0,3,0,0,8,0,0,1,6,1,0,1,0,0,2,0,0,0
"O160",0,0,89,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,117,0,0,125,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,1,157,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,17,0,0,0,0,0,0,91,0,0,3,0,0,0
"O17",0,2,0,0,13,3,46,0,8,12,51,191,9,128,0,0,47,7,3169,12,0,9,1,134,2,100,2,2,0,0,16,4,3154,44,2,15,5,158,8,183,0,0,17,127,3,2338,1,7,0,109,2,2224,6,2,10,10,0,24,10,90,2,19,2,200,38,1,900,99,0,0,74,0,256,0,1,1,2,2,1679,1,6,0,3,0,0,1,72,0,3,87,3,85,17,79,0,0
"O174C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"O22A",0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O26C",0,0,0,0,0,3,90,0,0,7,0,0,0,0,0,146,0,0,0,59,0,0,0,0,0,1,0,0,1,0,0,3,0,82,0,0,4,0,2,2,0,72,60,1,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0
"O2D",560,6,295,149,330,314,500,13,23,1330,216,280,428,65,0,0,268,6,136,30,2,41,67,11,519,98,454,16,318,169,424,322,167,378,10,17,1955,483,396,85,0,0,28,228,0,33,5,24,63,4,373,9,1900,7,13,1261,167,68,180,92,8,3,350,130,226,66,33,11,0,0,99,1,2,1,3,22,1,476,8,601,1827,7,484,48,0,69,25,11,3,83,143,53,54,28,0,0
"O32",0,0,24,0,60,21,44,15,8,11,0,102,61,171,0,0,4,1,0,27,4,4,0,95,59,21,0,0,32,0,106,92,0,50,28,9,33,292,50,358,2,0,15,2,0,0,0,1,0,0,3,1,0,0,0,40,0,3,13,85,1,1,1,50,42,0,93,53,0,0,0,0,0,0,0,0,0,2,1,29,0,0,5,0,0,0,25,0,0,9,0,53,12,92,0,0
"O36",0,0,8,0,0,0,0,0,0,0,0,0,22,7,0,0,0,0,0,24,0,0,0,0,1,0,0,0,14,0,0,1,0,0,0,0,0,0,17,4,0,0,11,0,0,0,2,0,0,0,1,0,0,0,0,12,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0
